brand,source,text,sentiment,engagement,wess_score
atomberg,Video,Atomberg BLDC Ceiling Fan 💸 This Fan Saves ₹1500/year!  Atomberg Renesa Halo #Shorts,Negative,317692,-317692
atomberg,Comment,"I bought atomberg halo  today i returned atomberg. Fan&#39;s rpm is low, does not justify its price",Negative,1,-2
usha,Comment,Why now an average fan makes more noise that you can&#39;t hear sound from watching something on youtube of insta... I have to use headphone mostly or a Bluetooth speaker... 3000-4000 ka fan bhi itna sound krta hai jaise pehle k USha k panther nhi krte th or aaj bhi mast chal rhe hai Gaon me,Negative,1,-2
atomberg,Comment,Please please do not buy bldc fan.<br>Me double pese dekar atomberg bldc fan le aaya tha.. electricity bill me ghanta kuchh farq nahi bada. 2.5  sal bad fan kharab ho gaya..ab repairing ka kharcha alag. Fan chalta bhi kachhua ke jese tha.. rpm very slow.  Aaj kal ke induction fan bhi to 50-60watt ke aate hai.. jo company ka bhi under 2k aa jata hai. Jo 20 sal tak bhi chal jata hai..  phir bldc jhatu lene ka kya fayda..???,Negative,0,-1
atomberg,Comment,"⚠️ I&#39;m using atomberg Fan for 1 year Renesa Smart ceiling fan 1200mm( wifi support) &amp; Renesa Regular ceiling fan 1200mm😔, Don&#39;t Buy this both model👎, wifi &amp; Remote control feature is great 👍 but no air flow, only in 5 speed &amp; Boost mode you&#39;ll feel the air with fan rotating noise, Think before you buy, Don&#39;t fall in trap<br>Atomberg Less air flow with energy savings,",Negative,1,-2
atomberg,Video,Atomberg Renesa smart fan #shorts #youtubeshorts #smartgadgets #homeimprovement #amazonfinds,Negative,1408527,-1408527
atomberg,Comment,❤❤ Atomberg Celling Fan 🧡💙,Negative,1,-2
atomberg,Comment,Maintaining white fan is a Very tough challenge i have Atomberg Renesa Enzel white have to clean every 14 days,Negative,1,-2
atomberg,Video,Best BLDC Smart Fan For Home | Atomberg Renesa Plus BLDC FAN with Remote Control..,Positive,304340,304340
atomberg,Comment,this is not atomberg fan bro.. its custom built bldc fan.. plss give link of that motor and controller.,Negative,1,-2
atomberg,Video,Atomberg Renesa 1400mm,Positive,3300004,3300004
atomberg,Comment,"I bought Renesa+ 1400 mm for 194sq.ft. living room. The airflow is felt only below the fan. If you step one feet away from the fan, there is no airflow. Atomberg technician says that Renesa, plus and smart series get a lot of customer complaints but Efficio has no complaints so far. Overall, BLDC 1400 mm fan for a bigger size living room, is not a good choice. I used Orient 52W 1400mm fan earlier and it delivered good airflow. Its heavy duty fan and would last long. Regular 1400 mm fans from Crompton, Havells, Orient, Bajaj are best choices. I have Renesa 1200 mm fans in two bedrooms and its good as the fan is directly above the cot. Noise is a bit more than normal fans.",Negative,156,-157
orient,Comment,"I bought Renesa+ 1400 mm for 194sq.ft. living room. The airflow is felt only below the fan. If you step one feet away from the fan, there is no airflow. Atomberg technician says that Renesa, plus and smart series get a lot of customer complaints but Efficio has no complaints so far. Overall, BLDC 1400 mm fan for a bigger size living room, is not a good choice. I used Orient 52W 1400mm fan earlier and it delivered good airflow. Its heavy duty fan and would last long. Regular 1400 mm fans from Crompton, Havells, Orient, Bajaj are best choices. I have Renesa 1200 mm fans in two bedrooms and its good as the fan is directly above the cot. Noise is a bit more than normal fans.",Negative,156,-157
crompton,Comment,"I bought Renesa+ 1400 mm for 194sq.ft. living room. The airflow is felt only below the fan. If you step one feet away from the fan, there is no airflow. Atomberg technician says that Renesa, plus and smart series get a lot of customer complaints but Efficio has no complaints so far. Overall, BLDC 1400 mm fan for a bigger size living room, is not a good choice. I used Orient 52W 1400mm fan earlier and it delivered good airflow. Its heavy duty fan and would last long. Regular 1400 mm fans from Crompton, Havells, Orient, Bajaj are best choices. I have Renesa 1200 mm fans in two bedrooms and its good as the fan is directly above the cot. Noise is a bit more than normal fans.",Negative,156,-157
havells,Comment,"I bought Renesa+ 1400 mm for 194sq.ft. living room. The airflow is felt only below the fan. If you step one feet away from the fan, there is no airflow. Atomberg technician says that Renesa, plus and smart series get a lot of customer complaints but Efficio has no complaints so far. Overall, BLDC 1400 mm fan for a bigger size living room, is not a good choice. I used Orient 52W 1400mm fan earlier and it delivered good airflow. Its heavy duty fan and would last long. Regular 1400 mm fans from Crompton, Havells, Orient, Bajaj are best choices. I have Renesa 1200 mm fans in two bedrooms and its good as the fan is directly above the cot. Noise is a bit more than normal fans.",Negative,156,-157
usha,Comment,Bhai mai usha ka bldc fan lene ka soch rha hu kharab toh nhi hojaega na 4 yrs chal jaega,Negative,2,-3
atomberg,Comment,Bhai ye wala mat lena koi mene liya hai bohot slow ghumta hai iska rpm 350 hai normal fan ka 390 hota hai is vale fan se hawa nahi ati hai jyada mere pass hai ye wala leke pachta raha hun ab return bhi nahi le rahe @atomberg vale.,Negative,1,-2
orient,Comment,Would recommend orient i float or energion groove Crompton over this,Positive,4,5
crompton,Comment,Would recommend orient i float or energion groove Crompton over this,Positive,4,5
atomberg,Video,Atomberg renesa smart plus 1200 mm ceiling fan pearl white unboxing #atomberg #atombergfan #renesa,Negative,488951,-488951
atomberg,Comment,Simple model lo atomberg jaise ikano aur bhi ak do hain,Negative,0,-1
atomberg,Comment,Atomberg bakwas hai circuit bar bar bigad jata hai,Negative,0,-1
atomberg,Video,Ceiling fan 😩 atomberg studio smart plus fan #fan #fansound #shorts #shortsvideo #viralvideo,Negative,1056077,-1056077
orient,Comment,Orient bldc  fan kisi app se control kar skte h kya ??,Negative,1,-2
atomberg,Video,New atomberg smart fan !!! #smartfan #atombergfan #atomberg,Positive,1021,1021
atomberg,Video,Atomberg Renesa BLDC smart ceiling fan app control kaise kare. #shorts #youtubeshorts,Negative,362044,-362044
atomberg,Comment,Tap hi karna hai tu ek remote jaisa smartphone UI dete atomberg voice assistant mean just use voice,Negative,5,-6
atomberg,Comment,atomberg renesa smart vs renesa smart plus kya difference hai application support ka ya or kuch,Negative,3,-4
